Ano,Cananeia,Ubatuba
1976,25.2,27.1
,24.3,25.3
,24.3,25.8
,21.4,23.7
,19.8,21.6
,17,20
,17.2,19.3
,17.6,20.2
,20.2,20.2
,21.6,21.3
,22.5,23.7
,24,25.5
1977,25.3,26.4
,26.4,27.4
,24.9,26.3
,21.8,23.8
,21,22.3
,19.3,20.8
,20.8,22.6
,19.6,21.6
,20.2,21.6
,21.6,22.5
,22.5,23.3
,24,24.1
1978,24.8,25.9
,25.2,25.8
,24.3,25.5
,21.6,22.9
,19.2,21.5
,17.4,19.8
,18.9,21.4
,17.5,20.8
,19.7,21.8
,21.6,22.3
,22.9,23.7
,23.9,24.7
1979,22.9,24
,24.5,25.3
,23.2,24.2
,21.8,23.2
,19.3,22.3
,16.6,19.6
,16.5,19.2
,18.8,21.7
,18.1,20.5
,22,22.5
,21.7,22.5
,24.1,24.5
1980,24.4,26.1
,25,26.6
,26.4,27.7
,23.6,24.4
,21.7,23
,18.2,20.5
,17.6,20.1
,17.8,20.3
,17.3,19.7
,20.2,21.5
,22.2,22.6
,24.6,25.6
1981,25,25.9
,26.2,27
,24.3,24.7
,22.3,22.9
,21.9,22.3
,18.2,19.9
,17.1,19
,18,20.2
,19.5,21.4
,19.4,20.7
,23.2,23.4
,23.6,23.8
1982,23.8,24.3
,25,25.9
,23.9,23.7
,21.6,22.1
,19.9,20.1
,20.3,20.3
,18.8,20.3
,18.7,20.8
,19.7,20.8
,20.6,21.5
,22.4,24.3
,23.8,23.8
1983,25.9,26.4
,25.9,26.6
,24.1,23.5
,22.6,18.9
,20.9,18
,16.9,15.3
,17.2,14.7
,17.9,14.4
,17.1,16.2
,20.4,19.9
,23.5,22.6
,24.5,23.3
1984,26.2,25.6
,26.6,25.6
,24.7,23.3
,22.2,19.1
,21.8,19.4
,19.5,20.1
,18.3,19
,16.2,19
,18.3,18.3
,21.4,22
,22.3,22.5
,23,23.1
1985,24,23.8
,25.5,26.2
,25.3,25.1
,23.8,24.5
,20.1,21.6
,18,19.8
,18,19.8
,19.1,20.1
,19.2,20.2
,21.6,22.2
,22.6,22.9
,24,23.9